total_customers,customer_gender,customer_count,percentage,customer_country,customer_status,count,customer_type,customer_lang,year,new_customers,month,age_group,avg_age,period,customer_identification_type,customer_identifier,id_count,customer_proof_of_id_type,active_count,customers_with_expired_id,customer_contact_type,active_contacts,contact_type_count,customer_address_type,address_type_count,customer_classification_type,customer_classification_value,customer_name_type,name_type_count,pct_within_country,prev_year_count,growth_pct,quarter,total,active,inactive,customers_without_contact,customers_without_address,customers_without_identification,completeness_score,crud_flag,addresses_added,expiring_soon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=== Q04_customers_by_status: Customer Count by Status ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=== Q05_customers_by_type: Customer Count by Type ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,17,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,17,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=== Q06_customers_by_language: Customer Count by Language Preference ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,13,,KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q07_gender_by_country: Gender Distribution by Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,AF,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,AF,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,AF,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,AF,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,AU,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,AU,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,AU,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,AU,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,DE,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,FR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,FR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,FR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,FR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,GE,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,GE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,GE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,GE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,IN,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,IN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,IN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,JP,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,RU,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,RU,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,RU,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,UK,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,UK,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,UK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,UK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,US,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,US,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,US,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,US,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=== Q08_type_by_status: Customer Count by Type and Status ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,6,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,5,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,2,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,2,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,6,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,5,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,5,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,2,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,7,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,4,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,4,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,2,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,8,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,6,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,5,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,4,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,8,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,INACTIVE,5,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,2,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,2,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLOCKED,5,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEACTIVATED,3,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACTIVE,2,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,=== Q09_new_customers_per_year: New Customers Registered Each Year ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,=== Q10_monthly_new_customers_3yr: Monthly New Customers (Last 3 Years) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,=== Q11_age_distribution: Customer Age Distribution (Brackets) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,18-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,,,,,,26-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,,,,,,36-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,,,,,,46-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q12_avg_age_by_country: Average Customer Age by Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JP,,,,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UK,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AU,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RU,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FR,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IN,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GE,,,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,US,,,,,,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=== Q13_avg_age_by_gender: Average Customer Age by Gender ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,=== Q14_customers_3yr_vs_before: Customers Added: Last 3 Years vs Before ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,Last 3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,=== Q15_identification_type_dist: Customer Identification Type Distribution ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,=== Q16_multiple_id_types: Customers with Multiple Identification Types ===,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,=== Q17_proof_of_id_type_dist: Proof of ID Document Type Distribution ===,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,=== Q18_active_proof_of_id: Currently Active Proof of ID by Type ===,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,=== Q19_expired_proof_of_id: Customers with Expired Proof of ID ===,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,=== Q20_contact_type_dist: Contact Type Distribution ===,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,=== Q21_active_contact_info: Active Contact Information by Type ===,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,=== Q22_multiple_contact_types: Customers with Multiple Contact Types ===,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,=== Q23_address_type_dist: Address Type Distribution ===,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,=== Q24_multiple_address_types: Customers with Multiple Address Types ===,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q25_classification_type_dist: Classification Type Distribution ===,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q26_classification_value_breakdown: Classification Value Breakdown per Type ===,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q27_name_type_dist: Customer Name Type Distribution ===,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,=== Q28_multiple_name_types: Customers with Multiple Name Types ===,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=== Q29_gender_by_customer_type: Gender Ratio per Customer Type ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,5,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,5,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,3,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,2,BLACKLISTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,6,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,6,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,5,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,1,MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,5,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,5,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,4,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,3,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,7,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,6,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,5,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,5,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,6,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,5,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,4,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,2,STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,4,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,3,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,2,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,1,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q30_country_gender_pct: Country-wise Gender Breakdown with Percentage ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,AF,,5,,,,,,,,,,,,,,,,,,,,,,,,41.67,,,,,,,,,,,,,
,N,,,AF,,3,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
,F,,,AF,,2,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,M,,,AF,,2,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,M,,,AU,,4,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
,O,,,AU,,3,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
,F,,,AU,,2,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
,N,,,AU,,1,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
,F,,,DE,,5,,,,,,,,,,,,,,,,,,,,,,,,35.71,,,,,,,,,,,,,
,N,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,
,M,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,
,O,,,DE,,3,,,,,,,,,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,
,N,,,FR,,2,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,F,,,FR,,2,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,M,,,FR,,1,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,O,,,FR,,1,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,M,,,GE,,5,,,,,,,,,,,,,,,,,,,,,,,,41.67,,,,,,,,,,,,,
,O,,,GE,,4,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,N,,,GE,,2,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,F,,,GE,,1,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,F,,,IN,,3,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
,M,,,IN,,2,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,N,,,IN,,1,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,N,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,27.27,,,,,,,,,,,,,
,M,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,27.27,,,,,,,,,,,,,
,O,,,JP,,3,,,,,,,,,,,,,,,,,,,,,,,,27.27,,,,,,,,,,,,,
,F,,,JP,,2,,,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,N,,,RU,,3,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
,M,,,RU,,2,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,F,,,RU,,1,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,F,,,UK,,7,,,,,,,,,,,,,,,,,,,,,,,,63.64,,,,,,,,,,,,,
,M,,,UK,,2,,,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,O,,,UK,,1,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,N,,,UK,,1,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,F,,,US,,5,,,,,,,,,,,,,,,,,,,,,,,,41.67,,,,,,,,,,,,,
,O,,,US,,3,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
,N,,,US,,2,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,M,,,US,,2,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,=== Q31_yoy_growth_rate: Year-over-Year Customer Growth Rate (Last 3 Years) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,=== Q32_quarterly_registrations: New Customers per Quarter (Last 3 Years) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026,100,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q33_top10_countries: Top 10 Countries by Customer Count ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
,,,,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
,,,,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
,,,,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
,,,,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
,,,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q34_status_by_country: Customer Status by Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
